Symbol,Date,Open,High,Low,Close,Volume,Sector,Index
,,SINTERCOM.NS,SINTERCOM.NS,SINTERCOM.NS,SINTERCOM.NS,SINTERCOM.NS,,
SINTERCOM,2025-11-14,118.3499984741211,118.38999938964844,110.0,111.26000213623047,2982,,NSE
