Symbol,Date,Open,High,Low,Close,Volume,Sector,Index
,,KTKBANK.NS,KTKBANK.NS,KTKBANK.NS,KTKBANK.NS,KTKBANK.NS,,
KTKBANK,2025-11-14,177.75,177.75,173.8000030517578,174.07000732421875,1234259,,NSE
